architecture,epochs,batch_size,optimizer,test_score,history_loss,history_score
"[{'name': 'conv2d_1', 'trainable': True, 'dtype': 'float32', 'filters': 8, 'kernel_size': (3, 3), 'strides': (1, 1), 'padding': 'same', 'data_format': 'channels_last', 'dilation_rate': (1, 1), 'activation': 'relu', 'use_bias': True, 'kernel_initializer': {'class_name': 'VarianceScaling', 'config': {'scale': 1.0, 'mode': 'fan_avg', 'distribution': 'uniform', 'seed': None}}, 'bias_initializer': {'class_name': 'Zeros', 'config': {}}, 'kernel_regularizer': None, 'bias_regularizer': None, 'activity_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None, '_type': <class 'keras.layers.convolutional.Conv2D'>}, {'name': 'conv2d_2', 'trainable': True, 'dtype': 'float32', 'filters': 8, 'kernel_size': (3, 3), 'strides': (1, 1), 'padding': 'same', 'data_format': 'channels_last', 'dilation_rate': (1, 1), 'activation': 'relu', 'use_bias': True, 'kernel_initializer': {'class_name': 'VarianceScaling', 'config': {'scale': 1.0, 'mode': 'fan_avg', 'distribution': 'uniform', 'seed': None}}, 'bias_initializer': {'class_name': 'Zeros', 'config': {}}, 'kernel_regularizer': None, 'bias_regularizer': None, 'activity_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None, '_type': <class 'keras.layers.convolutional.Conv2D'>}, {'name': 'flatten_1', 'trainable': True, 'dtype': 'float32', 'data_format': 'channels_last', '_type': <class 'keras.layers.core.Flatten'>}]",10,256,"{'lr': 0.0010000000474974513, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'amsgrad': False, '_type': <class 'keras.optimizers.Adam'>}",0.7485,"[0.6000015908082327, 0.3782291088263194, 0.3377836482524872, 0.31212131651242575, 0.2932294156471888, 0.2779979005336761, 0.26486587149302165, 0.25491622402668, 0.24550052037239076, 0.24013705821037293]","[0.7996166666984558, 0.8679666666348775, 0.8819833333651225, 0.8909166666348776, 0.8960666666984558, 0.9017666666348775, 0.9060166666984558, 0.9092000000317891, 0.9121166666348776, 0.9148166666984558]"
"[{'name': 'conv2d_3', 'trainable': True, 'dtype': 'float32', 'filters': 16, 'kernel_size': (3, 3), 'strides': (1, 1), 'padding': 'same', 'data_format': 'channels_last', 'dilation_rate': (1, 1), 'activation': 'relu', 'use_bias': True, 'kernel_initializer': {'class_name': 'VarianceScaling', 'config': {'scale': 1.0, 'mode': 'fan_avg', 'distribution': 'uniform', 'seed': None}}, 'bias_initializer': {'class_name': 'Zeros', 'config': {}}, 'kernel_regularizer': None, 'bias_regularizer': None, 'activity_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None, '_type': <class 'keras.layers.convolutional.Conv2D'>}, {'name': 'conv2d_4', 'trainable': True, 'dtype': 'float32', 'filters': 16, 'kernel_size': (3, 3), 'strides': (1, 1), 'padding': 'same', 'data_format': 'channels_last', 'dilation_rate': (1, 1), 'activation': 'relu', 'use_bias': True, 'kernel_initializer': {'class_name': 'VarianceScaling', 'config': {'scale': 1.0, 'mode': 'fan_avg', 'distribution': 'uniform', 'seed': None}}, 'bias_initializer': {'class_name': 'Zeros', 'config': {}}, 'kernel_regularizer': None, 'bias_regularizer': None, 'activity_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None, '_type': <class 'keras.layers.convolutional.Conv2D'>}, {'name': 'flatten_2', 'trainable': True, 'dtype': 'float32', 'data_format': 'channels_last', '_type': <class 'keras.layers.core.Flatten'>}]",10,256,"{'lr': 0.0010000000474974513, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'amsgrad': False, '_type': <class 'keras.optimizers.Adam'>}",0.8526,"[0.4349499502658844, 0.28800703690846763, 0.25241810563405354, 0.2276717389980952, 0.2080122698545456, 0.19376832446257272, 0.1803740731159846, 0.16775022840499879, 0.15736330873966217, 0.14875538079341252]","[0.8487666666984558, 0.8978666666348776, 0.9103166666984558, 0.9186000000317891, 0.9264333333015442, 0.9300999999682109, 0.9355166666984558, 0.9408833333651225, 0.9431999999682109, 0.9468166666348775]"
"[{'name': 'conv2d_5', 'trainable': True, 'dtype': 'float32', 'filters': 32, 'kernel_size': (3, 3), 'strides': (1, 1), 'padding': 'same', 'data_format': 'channels_last', 'dilation_rate': (1, 1), 'activation': 'relu', 'use_bias': True, 'kernel_initializer': {'class_name': 'VarianceScaling', 'config': {'scale': 1.0, 'mode': 'fan_avg', 'distribution': 'uniform', 'seed': None}}, 'bias_initializer': {'class_name': 'Zeros', 'config': {}}, 'kernel_regularizer': None, 'bias_regularizer': None, 'activity_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None, '_type': <class 'keras.layers.convolutional.Conv2D'>}, {'name': 'conv2d_6', 'trainable': True, 'dtype': 'float32', 'filters': 32, 'kernel_size': (3, 3), 'strides': (1, 1), 'padding': 'same', 'data_format': 'channels_last', 'dilation_rate': (1, 1), 'activation': 'relu', 'use_bias': True, 'kernel_initializer': {'class_name': 'VarianceScaling', 'config': {'scale': 1.0, 'mode': 'fan_avg', 'distribution': 'uniform', 'seed': None}}, 'bias_initializer': {'class_name': 'Zeros', 'config': {}}, 'kernel_regularizer': None, 'bias_regularizer': None, 'activity_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None, '_type': <class 'keras.layers.convolutional.Conv2D'>}, {'name': 'flatten_3', 'trainable': True, 'dtype': 'float32', 'data_format': 'channels_last', '_type': <class 'keras.layers.core.Flatten'>}]",10,256,"{'lr': 0.0010000000474974513, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'amsgrad': False, '_type': <class 'keras.optimizers.Adam'>}",0.8785,"[0.4297983352661133, 0.27502356425126395, 0.2356155942281087, 0.20751600732803344, 0.18654864673614502, 0.16698291219870248, 0.15134831029574075, 0.13780956420898438, 0.12587849334875742, 0.11404473808209101]","[0.8492000000317892, 0.9017333333651225, 0.91555, 0.9259833333333334, 0.93345, 0.9401666666666667, 0.9462833333333334, 0.9518500000317891, 0.9552833333333334, 0.9588]"
"[{'name': 'conv2d_7', 'trainable': True, 'dtype': 'float32', 'filters': 64, 'kernel_size': (3, 3), 'strides': (1, 1), 'padding': 'same', 'data_format': 'channels_last', 'dilation_rate': (1, 1), 'activation': 'relu', 'use_bias': True, 'kernel_initializer': {'class_name': 'VarianceScaling', 'config': {'scale': 1.0, 'mode': 'fan_avg', 'distribution': 'uniform', 'seed': None}}, 'bias_initializer': {'class_name': 'Zeros', 'config': {}}, 'kernel_regularizer': None, 'bias_regularizer': None, 'activity_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None, '_type': <class 'keras.layers.convolutional.Conv2D'>}, {'name': 'conv2d_8', 'trainable': True, 'dtype': 'float32', 'filters': 64, 'kernel_size': (3, 3), 'strides': (1, 1), 'padding': 'same', 'data_format': 'channels_last', 'dilation_rate': (1, 1), 'activation': 'relu', 'use_bias': True, 'kernel_initializer': {'class_name': 'VarianceScaling', 'config': {'scale': 1.0, 'mode': 'fan_avg', 'distribution': 'uniform', 'seed': None}}, 'bias_initializer': {'class_name': 'Zeros', 'config': {}}, 'kernel_regularizer': None, 'bias_regularizer': None, 'activity_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None, '_type': <class 'keras.layers.convolutional.Conv2D'>}, {'name': 'flatten_4', 'trainable': True, 'dtype': 'float32', 'data_format': 'channels_last', '_type': <class 'keras.layers.core.Flatten'>}]",10,256,"{'lr': 0.0010000000474974513, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'amsgrad': False, '_type': <class 'keras.optimizers.Adam'>}",0.804,"[0.42419227415720623, 0.26402537581125896, 0.21825717056592306, 0.18943733788728714, 0.1683274982770284, 0.14735372556447981, 0.13092055523395538, 0.11719817676544189, 0.10328195929129919, 0.0908736829896768]","[0.8501666666984559, 0.9045500000317891, 0.9213166666666667, 0.9320333333015441, 0.9400000000317892, 0.9472166666666667, 0.9535166666348776, 0.9576333333015442, 0.9627333333333333, 0.96775]"
"[{'name': 'conv2d_9', 'trainable': True, 'dtype': 'float32', 'filters': 128, 'kernel_size': (3, 3), 'strides': (1, 1), 'padding': 'same', 'data_format': 'channels_last', 'dilation_rate': (1, 1), 'activation': 'relu', 'use_bias': True, 'kernel_initializer': {'class_name': 'VarianceScaling', 'config': {'scale': 1.0, 'mode': 'fan_avg', 'distribution': 'uniform', 'seed': None}}, 'bias_initializer': {'class_name': 'Zeros', 'config': {}}, 'kernel_regularizer': None, 'bias_regularizer': None, 'activity_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None, '_type': <class 'keras.layers.convolutional.Conv2D'>}, {'name': 'conv2d_10', 'trainable': True, 'dtype': 'float32', 'filters': 128, 'kernel_size': (3, 3), 'strides': (1, 1), 'padding': 'same', 'data_format': 'channels_last', 'dilation_rate': (1, 1), 'activation': 'relu', 'use_bias': True, 'kernel_initializer': {'class_name': 'VarianceScaling', 'config': {'scale': 1.0, 'mode': 'fan_avg', 'distribution': 'uniform', 'seed': None}}, 'bias_initializer': {'class_name': 'Zeros', 'config': {}}, 'kernel_regularizer': None, 'bias_regularizer': None, 'activity_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None, '_type': <class 'keras.layers.convolutional.Conv2D'>}, {'name': 'flatten_5', 'trainable': True, 'dtype': 'float32', 'data_format': 'channels_last', '_type': <class 'keras.layers.core.Flatten'>}]",10,256,"{'lr': 0.0010000000474974513, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'amsgrad': False, '_type': <class 'keras.optimizers.Adam'>}",0.8544,"[0.4756223659992218, 0.27908047862052915, 0.23816245535214742, 0.2087966933965683, 0.18760200469493865, 0.17020367612838744, 0.15246409707864125, 0.13783611285686492, 0.12406740489800772, 0.1132064495563507]","[0.8410833333015442, 0.9002999999682109, 0.9136999999682108, 0.9246166666348775, 0.9330999999682108, 0.9398666666666666, 0.9451333333015441, 0.9508333333651224, 0.9563166666984558, 0.9598166666666667]"
"[{'name': 'conv2d_11', 'trainable': True, 'dtype': 'float32', 'filters': 8, 'kernel_size': (7, 7), 'strides': (1, 1), 'padding': 'same', 'data_format': 'channels_last', 'dilation_rate': (1, 1), 'activation': 'relu', 'use_bias': True, 'kernel_initializer': {'class_name': 'VarianceScaling', 'config': {'scale': 1.0, 'mode': 'fan_avg', 'distribution': 'uniform', 'seed': None}}, 'bias_initializer': {'class_name': 'Zeros', 'config': {}}, 'kernel_regularizer': None, 'bias_regularizer': None, 'activity_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None, '_type': <class 'keras.layers.convolutional.Conv2D'>}, {'name': 'conv2d_12', 'trainable': True, 'dtype': 'float32', 'filters': 8, 'kernel_size': (7, 7), 'strides': (1, 1), 'padding': 'same', 'data_format': 'channels_last', 'dilation_rate': (1, 1), 'activation': 'relu', 'use_bias': True, 'kernel_initializer': {'class_name': 'VarianceScaling', 'config': {'scale': 1.0, 'mode': 'fan_avg', 'distribution': 'uniform', 'seed': None}}, 'bias_initializer': {'class_name': 'Zeros', 'config': {}}, 'kernel_regularizer': None, 'bias_regularizer': None, 'activity_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None, '_type': <class 'keras.layers.convolutional.Conv2D'>}, {'name': 'flatten_6', 'trainable': True, 'dtype': 'float32', 'data_format': 'channels_last', '_type': <class 'keras.layers.core.Flatten'>}]",10,256,"{'lr': 0.0010000000474974513, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'amsgrad': False, '_type': <class 'keras.optimizers.Adam'>}",0.8304,"[0.5246110613028209, 0.3437103605906169, 0.3050155388355255, 0.2836488986333211, 0.264994383819898, 0.25062663173675537, 0.23833107115427654, 0.22810972770849863, 0.21514765504201253, 0.20955873483816784]","[0.8163000000317892, 0.8774833333651225, 0.8911166666666667, 0.8982333333333333, 0.9040666666666667, 0.9092666666666667, 0.9127499999682108, 0.9168666666984558, 0.92305, 0.9237]"
"[{'name': 'conv2d_13', 'trainable': True, 'dtype': 'float32', 'filters': 16, 'kernel_size': (7, 7), 'strides': (1, 1), 'padding': 'same', 'data_format': 'channels_last', 'dilation_rate': (1, 1), 'activation': 'relu', 'use_bias': True, 'kernel_initializer': {'class_name': 'VarianceScaling', 'config': {'scale': 1.0, 'mode': 'fan_avg', 'distribution': 'uniform', 'seed': None}}, 'bias_initializer': {'class_name': 'Zeros', 'config': {}}, 'kernel_regularizer': None, 'bias_regularizer': None, 'activity_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None, '_type': <class 'keras.layers.convolutional.Conv2D'>}, {'name': 'conv2d_14', 'trainable': True, 'dtype': 'float32', 'filters': 16, 'kernel_size': (7, 7), 'strides': (1, 1), 'padding': 'same', 'data_format': 'channels_last', 'dilation_rate': (1, 1), 'activation': 'relu', 'use_bias': True, 'kernel_initializer': {'class_name': 'VarianceScaling', 'config': {'scale': 1.0, 'mode': 'fan_avg', 'distribution': 'uniform', 'seed': None}}, 'bias_initializer': {'class_name': 'Zeros', 'config': {}}, 'kernel_regularizer': None, 'bias_regularizer': None, 'activity_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None, '_type': <class 'keras.layers.convolutional.Conv2D'>}, {'name': 'flatten_7', 'trainable': True, 'dtype': 'float32', 'data_format': 'channels_last', '_type': <class 'keras.layers.core.Flatten'>}]",10,256,"{'lr': 0.0010000000474974513, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'amsgrad': False, '_type': <class 'keras.optimizers.Adam'>}",0.863,"[0.4467554642279943, 0.2904227567354838, 0.2557022763331731, 0.23417315979003905, 0.21551167688369752, 0.20448542265892028, 0.1897135867436727, 0.17786518438657126, 0.16700702597300213, 0.1557865963021914]","[0.8423833333651225, 0.8956333333333333, 0.9065166666984558, 0.9146333333015442, 0.9206166666984558, 0.9254333333651225, 0.9294666666984558, 0.9345333333015442, 0.9391333333651225, 0.9437333333333333]"
"[{'name': 'conv2d_15', 'trainable': True, 'dtype': 'float32', 'filters': 32, 'kernel_size': (7, 7), 'strides': (1, 1), 'padding': 'same', 'data_format': 'channels_last', 'dilation_rate': (1, 1), 'activation': 'relu', 'use_bias': True, 'kernel_initializer': {'class_name': 'VarianceScaling', 'config': {'scale': 1.0, 'mode': 'fan_avg', 'distribution': 'uniform', 'seed': None}}, 'bias_initializer': {'class_name': 'Zeros', 'config': {}}, 'kernel_regularizer': None, 'bias_regularizer': None, 'activity_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None, '_type': <class 'keras.layers.convolutional.Conv2D'>}, {'name': 'conv2d_16', 'trainable': True, 'dtype': 'float32', 'filters': 32, 'kernel_size': (7, 7), 'strides': (1, 1), 'padding': 'same', 'data_format': 'channels_last', 'dilation_rate': (1, 1), 'activation': 'relu', 'use_bias': True, 'kernel_initializer': {'class_name': 'VarianceScaling', 'config': {'scale': 1.0, 'mode': 'fan_avg', 'distribution': 'uniform', 'seed': None}}, 'bias_initializer': {'class_name': 'Zeros', 'config': {}}, 'kernel_regularizer': None, 'bias_regularizer': None, 'activity_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None, '_type': <class 'keras.layers.convolutional.Conv2D'>}, {'name': 'flatten_8', 'trainable': True, 'dtype': 'float32', 'data_format': 'channels_last', '_type': <class 'keras.layers.core.Flatten'>}]",10,256,"{'lr': 0.0010000000474974513, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'amsgrad': False, '_type': <class 'keras.optimizers.Adam'>}",0.8758,"[0.4812253547668457, 0.2968722534894943, 0.25595426489512124, 0.2299565104087194, 0.20948948602676393, 0.19365515823364257, 0.17799795945882796, 0.16858000347614288, 0.15386185849905015, 0.1443264702161153]","[0.8307333333333333, 0.8931333333333333, 0.9066, 0.9155166666348775, 0.9231000000317892, 0.9283499999682109, 0.93595, 0.9384833333651225, 0.9449999999682108, 0.9481499999682108]"
"[{'name': 'conv2d_17', 'trainable': True, 'dtype': 'float32', 'filters': 64, 'kernel_size': (7, 7), 'strides': (1, 1), 'padding': 'same', 'data_format': 'channels_last', 'dilation_rate': (1, 1), 'activation': 'relu', 'use_bias': True, 'kernel_initializer': {'class_name': 'VarianceScaling', 'config': {'scale': 1.0, 'mode': 'fan_avg', 'distribution': 'uniform', 'seed': None}}, 'bias_initializer': {'class_name': 'Zeros', 'config': {}}, 'kernel_regularizer': None, 'bias_regularizer': None, 'activity_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None, '_type': <class 'keras.layers.convolutional.Conv2D'>}, {'name': 'conv2d_18', 'trainable': True, 'dtype': 'float32', 'filters': 64, 'kernel_size': (7, 7), 'strides': (1, 1), 'padding': 'same', 'data_format': 'channels_last', 'dilation_rate': (1, 1), 'activation': 'relu', 'use_bias': True, 'kernel_initializer': {'class_name': 'VarianceScaling', 'config': {'scale': 1.0, 'mode': 'fan_avg', 'distribution': 'uniform', 'seed': None}}, 'bias_initializer': {'class_name': 'Zeros', 'config': {}}, 'kernel_regularizer': None, 'bias_regularizer': None, 'activity_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None, '_type': <class 'keras.layers.convolutional.Conv2D'>}, {'name': 'flatten_9', 'trainable': True, 'dtype': 'float32', 'data_format': 'channels_last', '_type': <class 'keras.layers.core.Flatten'>}]",10,256,"{'lr': 0.0010000000474974513, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'amsgrad': False, '_type': <class 'keras.optimizers.Adam'>}",0.8372,"[0.4718586776892344, 0.2779858886877696, 0.24680465535322826, 0.22091730250517527, 0.20548126689195634, 0.18790815753936768, 0.17552898890574772, 0.16170803606907527, 0.15178074715137482, 0.13971650276581446]","[0.8378333333333333, 0.8990500000317891, 0.9098000000317892, 0.9188333333015442, 0.9246500000317891, 0.9305999999682109, 0.9351833333651225, 0.9409999999682108, 0.9448833333015442, 0.9493500000317892]"
"[{'name': 'conv2d_19', 'trainable': True, 'dtype': 'float32', 'filters': 128, 'kernel_size': (7, 7), 'strides': (1, 1), 'padding': 'same', 'data_format': 'channels_last', 'dilation_rate': (1, 1), 'activation': 'relu', 'use_bias': True, 'kernel_initializer': {'class_name': 'VarianceScaling', 'config': {'scale': 1.0, 'mode': 'fan_avg', 'distribution': 'uniform', 'seed': None}}, 'bias_initializer': {'class_name': 'Zeros', 'config': {}}, 'kernel_regularizer': None, 'bias_regularizer': None, 'activity_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None, '_type': <class 'keras.layers.convolutional.Conv2D'>}, {'name': 'conv2d_20', 'trainable': True, 'dtype': 'float32', 'filters': 128, 'kernel_size': (7, 7), 'strides': (1, 1), 'padding': 'same', 'data_format': 'channels_last', 'dilation_rate': (1, 1), 'activation': 'relu', 'use_bias': True, 'kernel_initializer': {'class_name': 'VarianceScaling', 'config': {'scale': 1.0, 'mode': 'fan_avg', 'distribution': 'uniform', 'seed': None}}, 'bias_initializer': {'class_name': 'Zeros', 'config': {}}, 'kernel_regularizer': None, 'bias_regularizer': None, 'activity_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None, '_type': <class 'keras.layers.convolutional.Conv2D'>}, {'name': 'flatten_10', 'trainable': True, 'dtype': 'float32', 'data_format': 'channels_last', '_type': <class 'keras.layers.core.Flatten'>}]",10,256,"{'lr': 0.0010000000474974513, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'amsgrad': False, '_type': <class 'keras.optimizers.Adam'>}",0.8617,"[0.6310431909561157, 0.2918145547389984, 0.25103077099323273, 0.2238478178660075, 0.20823901619116464, 0.18831490399042766, 0.17798659776449202, 0.16586657138665517, 0.1546182163317998, 0.1459006967862447]","[0.8193833333651225, 0.8941666666348775, 0.90785, 0.9172, 0.9239000000317892, 0.9308166666348775, 0.9338499999682108, 0.93925, 0.9435666666348775, 0.9469333333333333]"
